id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6955808-B2,Capsid-modified recombinant adenovirus and methods of use ,Uab Research Foundation,David T. Curiel,9/24/1999,9/23/2003,10/18/2005,10/18/2005,https://patents.google.com/patent/US6955808B2/en,https://patentimages.storage.googleapis.com/64/18/2b/69d14d3ed65e49/US06955808-20051018-D00001.png
US-9593347-B2,Identification of mutations in herpes simplex virus envelope glycoproteins that enable or enhance vector retargeting to novel non-HSV receptors ,University of Pittsburgh—of the Commonwealth System of Higher Education,"Joseph C. Glorioso, III, Hiroaki Uchida, Justus B. Cohen",4/16/2010,4/18/2011,3/14/2017,3/14/2017,https://patents.google.com/patent/US9593347B2/en,https://patentimages.storage.googleapis.com/d9/95/0b/1044a33c410096/US09593347-20170314-D00001.png
US-8597637-B1,Breast cancer therapy using an engineered respiratory syncytial virus ,"Weidong Zhang, Lixian Jiang, Calvin Cao","Weidong Zhang, Lixian Jiang, Calvin Cao",5/18/2010,5/18/2010,12/3/2013,12/3/2013,https://patents.google.com/patent/US8597637B1/en,https://patentimages.storage.googleapis.com/fa/58/dc/2c74b33b341a6d/US08597637-20131203-D00001.png
US-9821054-B2,Method of vaccination comprising a histone deacetylase inhibitor ,Turnstone Limited Partnership,"Byram Bridle, Brian Lichty, Yonghong Wan, Jean-Simon Diallo, Chantal Lemay, John Bell",3/11/2011,3/9/2012,11/21/2017,11/21/2017,https://patents.google.com/patent/US9821054B2/en,https://patentimages.storage.googleapis.com/47/f2/db/fffc554b4b3774/US09821054-20171121-D00001.png
US-8414885-B2,Methods and compositions for treating cancer ,"University Of Maryland, Baltimore","Laure Aurelian, Aric Colunga, Jennifer Laing",8/7/2009,8/9/2010,4/9/2013,4/9/2013,https://patents.google.com/patent/US8414885B2/en,https://patentimages.storage.googleapis.com/39/11/56/15306b5ead56fa/US08414885-20130409-D00001.png
US-7842454-B2,Kit for preparing cancer cell detection sample and kit for cancer cell detection using the same ,Sysmex Corporation,"Keiichiro Shomi, Tomokazu Yoshida",5/30/2006,5/25/2007,11/30/2010,11/30/2010,https://patents.google.com/patent/US7842454B2/en,https://patentimages.storage.googleapis.com/51/63/d0/4af56926e9332d/US07842454-20101130-D00000.png
US-7662795-B2,Enhancement of adenoviral oncolytic activity by modification of the E1A gene product ,The Johns Hopkins University,"Ronald Rodriguez, Ying Li",8/8/2002,8/8/2003,2/16/2010,2/16/2010,https://patents.google.com/patent/US7662795B2/en,https://patentimages.storage.googleapis.com/US7662795B2/US07662795-20100216-D00001.png
US-8865153-B2,Microorganisms for imaging and/or treatment of tumors ,Genelux Corporation,"Aladar A. Szalay, Nanhai Chen, Yong A. Yu, Qian Zhang",6/15/2007,5/10/2012,10/21/2014,10/21/2014,https://patents.google.com/patent/US8865153B2/en,
US-8617521-B2,Phage antibodies to radiation-inducible neoantigens ,Vanderbilt University,"Dennis E. Hallahan, Raymond Mernaugh",11/9/2001,8/1/2011,12/31/2013,12/31/2013,https://patents.google.com/patent/US8617521B2/en,https://patentimages.storage.googleapis.com/b3/48/e0/2ea7b2a2204c68/US08617521-20131231-D00001.png
US-9931347-B2,Pharmaceutical compound ,Iomet Pharma Ltd.,"Phillip Martin Cowley, Alan Wise, Margaret Huggett",12/3/2013,12/2/2014,4/3/2018,4/3/2018,https://patents.google.com/patent/US9931347B2/en,https://patentimages.storage.googleapis.com/12/45/f0/2d3e282390e443/US09931347-20180403-D00001.png
US-7790451-B2,HSV with a Musashi promoter regulating γ34.5 and ribonucleotide reductase expression ,Keio University,"Takahito Yazaki, Ryuichi Kanai, Takeshi Kawase, Hideyuki Okano",10/28/2005,9/14/2006,9/7/2010,9/7/2010,https://patents.google.com/patent/US7790451B2/en,https://patentimages.storage.googleapis.com/3f/70/c6/31d5f922ce20ea/US07790451-20100907-D00001.png
US-10105436-B2,Smallpox vaccine for cancer treatment ,"Calidi Biotherapeutics, Inc.","Aladar Szalay, Boris Minev",8/11/2015,8/11/2016,10/23/2018,10/23/2018,https://patents.google.com/patent/US10105436B2/en,https://patentimages.storage.googleapis.com/88/75/eb/0d0abc04765109/US10105436-20181023-D00001.png
US-6723316-B2,Herpes simplex virus-1 Glycoprotein C mutants for treating unwanted hyperproliferative cell growth ,"Onyx Pharmaceuticals, Inc.","Sylvie Laquerre, Terry Hermiston",12/22/1999,12/18/2000,4/20/2004,4/20/2004,https://patents.google.com/patent/US6723316B2/en,https://patentimages.storage.googleapis.com/03/d8/c0/25e389e2a75b19/US06723316-20040420-D00001.png
US-8802089-B2,Monoclonal antibodies against CD32B ,Genmab A/S,"Edward Norbert van den Brink, Paul Parren, Jan van de Winkel, Aran Frank Labrijn, Frank Everhardus Martinus Rebers, Esther Cornelia Wilhelmina Breij",1/3/2008,12/19/2008,8/12/2014,8/12/2014,https://patents.google.com/patent/US8802089B2/en,https://patentimages.storage.googleapis.com/6e/21/8d/04d747a95342fa/US08802089-20140812-D00001.png
US-7285414-B2,Viruses targeted to hypoxic cells and tissues ,Emory University,"Erwin G. Van Meir, Ainsley C. Nicholson, Dawn E. Post",9/26/2000,7/26/2004,10/23/2007,10/23/2007,https://patents.google.com/patent/US7285414B2/en,https://patentimages.storage.googleapis.com/7e/9f/56/3c16b0d5eb9ff1/US07285414-20071023-D00001.png
US-8609331-B2,Use of ribozymes in the detection of adventitious agents ,Onoclytics Biotech Inc.,Matthew C. Coffey,2/28/2002,9/27/2012,12/17/2013,12/17/2013,https://patents.google.com/patent/US8609331B2/en,
US-9623096-B2,Virally infected hematopoietic cells and uses thereof ,Celverum Inc.,"David CONRAD, John Cameron Bell, Harry Atkins",11/9/2011,11/8/2012,4/18/2017,4/18/2017,https://patents.google.com/patent/US9623096B2/en,https://patentimages.storage.googleapis.com/bf/44/be/143118293532c8/US09623096-20170418-D00001.png
US-10328109-B2,"Targeted adenoviruses and methods of making, isolating, and using ",Regents Of The University Of Minnesota,Masato Yamamoto,4/25/2014,4/24/2015,6/25/2019,6/25/2019,https://patents.google.com/patent/US10328109B2/en,https://patentimages.storage.googleapis.com/25/76/82/8d6b6ff6c9a6c5/US10328109-20190625-D00001.png
US-9540433-B2,Human antibodies and antibody-drug conjugates against CD74 ,Genmab A/S,"Sandra Verploegen, Marije Overdijk, Riemke Van Dijkhuizen, Willem Karel Bleeker, Patrick van Berkel, Paul Parren, Steen Lisby",2/1/2011,2/1/2012,1/10/2017,1/10/2017,https://patents.google.com/patent/US9540433B2/en,https://patentimages.storage.googleapis.com/24/64/f1/3fa511884f77a6/US09540433-20170110-D00001.png
US-9919047-B2,Generation of antibodies to tumor antigens and generation of tumor specific complement dependent cytotoxicity by administration of oncolytic vaccinia virus ,"Sillajen, Inc., Sillajen Biotherapeutics, Inc.","David Kirn, John Bell, Caroline Breitbach, Anne Moon, Tae-Ho Hwang, Yu Kyoung Lee, Mi-Kyung Kim",1/4/2011,1/4/2012,3/20/2018,3/20/2018,https://patents.google.com/patent/US9919047B2/en,https://patentimages.storage.googleapis.com/ab/18/78/0eb1e802d4e2c7/US09919047-20180320-D00001.png
US-8470577-B2,Viral vectors and their use in therapeutic methods ,"Catherex, Inc., The General Hospital Corporation, Georgetown University","Paul Johnson, Robert L. Martuza, Samuel D. Rabkin, Tomoki Todo",3/27/2001,3/11/2010,6/25/2013,6/25/2013,https://patents.google.com/patent/US8470577B2/en,https://patentimages.storage.googleapis.com/64/37/3e/a5f2a750b78040/US08470577-20130625-D00001.png
US-9746471-B2,P53 biomarkers ,Multivir Inc.,"Robert E. Sobol, Kerstin Menander",1/25/2008,1/26/2009,8/29/2017,8/29/2017,https://patents.google.com/patent/US9746471B2/en,https://patentimages.storage.googleapis.com/78/ff/ee/9d0e573d5d1142/US09746471-20170829-D00001.png
US-9567605-B2,Methods for use of a specific anti-angiogenic adenoviral agent ,Vascular Biogenics Ltd.,"Yael Cohen, Naamit Sher, Erez Feige, Livnat Bangio, Eyal Breitbart",1/5/2010,1/5/2011,2/14/2017,2/14/2017,https://patents.google.com/patent/US9567605B2/en,https://patentimages.storage.googleapis.com/99/68/be/24f30d4b49040a/US09567605-20170214-D00001.png
US-10208304-B2,Adenovirus library and methods ,Regents Of The University Of Minnesota,"Masato Yamamoto, Yoshiaki Miura",4/14/2011,4/16/2012,2/19/2019,2/19/2019,https://patents.google.com/patent/US10208304B2/en,https://patentimages.storage.googleapis.com/a7/97/cd/fab9cbb2eeb487/US10208304-20190219-D00001.png
US-9044499-B1,NS1/2-deficient respiratory syncytial virus and melanoma treatment ,"Weidong Zhang, Lixian Jiang, Calvin Cao","Weidong Zhang, Lixian Jiang, Calvin Cao",6/22/2010,6/10/2011,6/2/2015,6/2/2015,https://patents.google.com/patent/US9044499B1/en,https://patentimages.storage.googleapis.com/38/3b/c0/795175641f6ede/US09044499-20150602-D00001.png
US-9861668-B2,Replication-competent vesicular stomatitis viruses ,Mayo Foundation For Medical Education And Research,"Kah-Whye Peng, Stephen James Russell, Camilo Ayala Breton",4/18/2012,12/15/2016,1/9/2018,1/9/2018,https://patents.google.com/patent/US9861668B2/en,https://patentimages.storage.googleapis.com/63/6c/62/62e07409353f3f/US09861668-20180109-D00001.png
US-9932564-B2,Recombinant isfahan viral vectors ,"The Board Of Regents Of The University Of Texas System, Profectus Biosciences, Inc.","Demetrius Matassov, Rodion V. Gorchakov, Stefan Hamm, Rebecca Nowak, Robert L. Seymour, John H. Eldridge, Robert B. Tesh, David K. Clarke, Theresa E. Latham, Scott Weaver, Farooq Nasar",3/1/2014,2/27/2015,4/3/2018,4/3/2018,https://patents.google.com/patent/US9932564B2/en,https://patentimages.storage.googleapis.com/cf/b7/28/71b4ec9e465ddc/US09932564-20180403-D00001.png
US-9714297-B2,Human antibodies against tissue factor and methods of use thereof ,Genmab A/S,"Sandra Verploegen, David P. E. Satijn, Rene M. A. Hoet, Paul Parren, Jan van de Winkel, Vibeke Miller Breinholt, Eva Ehrnrooth, Ole Baadsgaard, Tom Vink, Willem Karel Bleeker, Mischa Houtkamp, Maroeska Oudshoorn, Rob N. De Jong",12/9/2008,8/28/2015,7/25/2017,7/25/2017,https://patents.google.com/patent/US9714297B2/en,https://patentimages.storage.googleapis.com/d2/fe/a3/5f3f0e6800201e/US09714297-20170725-D00001.png
US-9168314-B2,Human antibody drug conjugates against tissue factor ,Genmab A/S,"David Satijn, Sandra Verploegen, Wim Bleeker, Steen Lisby, Jan van de Winkel, Patrick van Berkel, Paul Parren",6/15/2010,6/15/2011,10/27/2015,10/27/2015,https://patents.google.com/patent/US9168314B2/en,https://patentimages.storage.googleapis.com/24/ca/92/85eaeea904899b/US09168314-20151027-D00001.png
US-8980247-B2,Parvovirus methods and compositions for killing neoplastic cells ,The Penn State Research Foundation,"Craig M. Meyers, Samina Alam",10/21/2004,12/13/2011,3/17/2015,3/17/2015,https://patents.google.com/patent/US8980247B2/en,https://patentimages.storage.googleapis.com/39/37/1b/e8851c890f8b93/US08980247-20150317-D00001.png
US-8066983-B2,Attenuated poliovirus ,The Research Foundation Of State University Of New York,"Eckard Wimmer, Jeronimo Cello, Aniko Paul, Hidemi Toyoda, Jiang Yin",3/14/2008,3/16/2009,11/29/2011,11/29/2011,https://patents.google.com/patent/US8066983B2/en,https://patentimages.storage.googleapis.com/32/bf/8c/874ce8b7f50da6/US08066983-20111129-D00001.png
US-9913866-B2,Selective cell targeting using adenovirus and chemical dimers ,Salk Institute For Biological Studies,"Clodagh O'Shea, Shigeki Miyake-Stoner, Colin Powers",3/13/2012,9/12/2014,3/13/2018,3/13/2018,https://patents.google.com/patent/US9913866B2/en,https://patentimages.storage.googleapis.com/0a/03/ba/ee7e3de7849db3/US09913866-20180313-D00001.png
US-9512429-B2,"Pharmaceutical composition comprising Nanog shRNA, and method of using Nanog shRNA to treat cancer ","The United States Of America, As Represented By The Secretary, Dept. Of Health And Human Services","John Milburn Jessup, Nikolay Korokhov",12/6/2010,10/19/2015,12/6/2016,12/6/2016,https://patents.google.com/patent/US9512429B2/en,https://patentimages.storage.googleapis.com/bb/2f/3f/245bf39815bd6f/US09512429-20161206-D00001.png
US-8535929-B2,Parvovirus having a CPG-enriched genome useful for cancer therapy ,"Deutsches Krebsforschungszentrum, Ruprecht-Karls-Universitaet Heidelberg","Zahari Raykov, Jean Rommelaere, Nathalia Giese, Marc Aprahamian",12/28/2007,12/19/2008,9/17/2013,9/17/2013,https://patents.google.com/patent/US8535929B2/en,https://patentimages.storage.googleapis.com/65/fb/72/aea702a9ff65ca/US08535929-20130917-D00001.png
US-10022431-B2,Methods and materials for treating cancer ,"Mayo Foundation For Medical Education And Research, Leeds University","Richard G. Vile, Timothy J. Kottke, Jose S. Pulido, Alan Melcher, Peter Selby",2/10/2010,2/10/2011,7/17/2018,7/17/2018,https://patents.google.com/patent/US10022431B2/en,https://patentimages.storage.googleapis.com/9b/af/17/a7037e3d8cd77b/US10022431-20180717-D00001.png
US-8431117-B2,Sickled erythrocytes with anti-tumor agents induce tumor vaso-occlusion and tumoricidal effects ,David S Terman,David S Terman,8/30/1999,2/7/2012,4/30/2013,4/30/2013,https://patents.google.com/patent/US8431117B2/en,https://patentimages.storage.googleapis.com/3e/c7/8b/f321367e8cf8b3/US08431117-20130430-D00001.png
US-10125374-B2,Influenza virus vector for virotherapy ,Blue Sky Vaccines Gmbh,Thomas Muster,10/28/2013,10/28/2014,11/13/2018,11/13/2018,https://patents.google.com/patent/US10125374B2/en,https://patentimages.storage.googleapis.com/74/98/30/73bdbec220868d/US10125374-20181113-D00001.png
US-9017672-B2,Hexon Tat-PTD modified adenovirus and uses thereof ,Immunicum Aktiebolag,"Di Yu, Magnus Essand",5/11/2012,5/13/2013,4/28/2015,4/28/2015,https://patents.google.com/patent/US9017672B2/en,https://patentimages.storage.googleapis.com/aa/59/0e/7d3aab96874330/US09017672-20150428-D00001.png
US-7615209-B2,Compositions of NDV and methods of use thereof for treatment of cancer ,"Yissum Research Development Company Of The Hebrew University Of Jerusalem, Theravir Management L.P.","Zichria Zakay-Rones, Amos Panet, Evgeniya Greenbaum, Eithan Galun, Arnold I. Freeman, Linda Rasooly, Charles S. Irving",9/12/2001,11/20/2006,11/10/2009,11/10/2009,https://patents.google.com/patent/US7615209B2/en,https://patentimages.storage.googleapis.com/01/8c/a9/65ba371c76688e/US07615209-20091110-D00001.png
US-10072094-B2,Compositions and methods for tumor transduction ,Aleta Biotherapeutics Inc.,"Roy Lobb, Paul Rennert",10/30/2015,8/7/2017,9/11/2018,9/11/2018,https://patents.google.com/patent/US10072094B2/en,https://patentimages.storage.googleapis.com/fb/b4/ff/80d8e81fe5e8ca/US10072094-20180911-D00001.png
US-4108983-A,Viral oncolysate vaccine for stimulating the immune mechanism of mammals to species-specific tumors ,The Wistar Institute,Marc K. Wallack,6/1/1976,6/1/1976,8/22/1978,8/22/1978,https://patents.google.com/patent/US4108983A/en,
US-9085777-B2,"Mutant HSV, materials and methods for generation of mutant HSV ",Virttu Biologics Limited,Joe Conner,5/11/2006,5/4/2007,7/21/2015,7/21/2015,https://patents.google.com/patent/US9085777B2/en,https://patentimages.storage.googleapis.com/69/96/c1/2dbe969cd36361/US09085777-20150721-D00001.png
US-9730960-B2,Method for treating or preventing graft versus host disease ,"University Of Florida Research Foundation, Inc.","Douglas G. McFadden, Eric C. Bartee, Christopher R. COGLE",6/9/2011,6/11/2012,8/15/2017,8/15/2017,https://patents.google.com/patent/US9730960B2/en,https://patentimages.storage.googleapis.com/1f/44/0c/4e337af7ee62bc/US09730960-20170815-D00001.png
US-10314870-B2,Tropism modified cancer terminator virus (Ad.5/3 CTV;AD.5/3-CTV-M7) ,Virginia Commonwealth University,"Paul Fisher, Devanand Sarkar, Paul Dent",12/10/2012,12/10/2013,6/11/2019,6/11/2019,https://patents.google.com/patent/US10314870B2/en,https://patentimages.storage.googleapis.com/a7/a7/92/7295b2659f4804/US10314870-20190611-D00001.png
US-9056133-B2,Pharmaceutical kit and method for treating cancer ,Cti-S.A.,"Osvaldo Podhajcer, Manuel Gidekel, Eduardo Cafferata, Helga Weber",5/25/2011,5/21/2012,6/16/2015,6/16/2015,https://patents.google.com/patent/US9056133B2/en,https://patentimages.storage.googleapis.com/fd/02/3e/3ab18848be503b/US09056133-20150616-D00001.png
US-10238699-B2,Tropic cell based virotherapy for the treatment of cancer ,"City Of Hope, University Of Chicago, University Of Alabama At Birmingham","Karen S. Aboody, Alexander J. ANNALA, David CURIEL, Maciej LESNIAK",3/13/2013,9/11/2015,3/26/2019,3/26/2019,https://patents.google.com/patent/US10238699B2/en,https://patentimages.storage.googleapis.com/b5/48/70/c0150764420682/US10238699-20190326-D00001.png
US-10149848-B2,Method for the treatment of bladder cancer ,Cipla Limited,"Geena Malhotra, Kalpana Joshi",12/9/2015,12/6/2016,12/11/2018,12/11/2018,https://patents.google.com/patent/US10149848B2/en,https://patentimages.storage.googleapis.com/6a/91/9e/441983035cd1aa/US10149848-20181211-D00001.png
US-8216564-B2,Composite oncolytic herpes virus vectors ,Ramot At Tel-Aviv University Ltd.,Niza Frenkel,5/2/2002,5/2/2002,7/10/2012,7/10/2012,https://patents.google.com/patent/US8216564B2/en,https://patentimages.storage.googleapis.com/d2/85/15/1e7ac3cc3a26d3/US08216564-20120710-D00000.png
US-10265357-B2,"Compositions, methods and uses for treating solid tumors using LCMV-GP-VSV pseudotype vectors ",Viratherapeutics Gmbh,"Dorothee von Laer, Tsanan Heimann",10/8/2008,6/16/2014,4/23/2019,4/23/2019,https://patents.google.com/patent/US10265357B2/en,https://patentimages.storage.googleapis.com/76/c3/78/624239c436f81e/US10265357-20190423-D00001.png
US-7396679-B2,Oncolytic adenovirus ,"Onyx Pharmaceuticals, Inc.","Leisa Johnson, Ali Fattaey, Terry Hermiston, Yuqiao Shen, Sylvie Laquerre",11/15/1999,11/25/2002,7/8/2008,7/8/2008,https://patents.google.com/patent/US7396679B2/en,https://patentimages.storage.googleapis.com/US7396679B2/US07396679-20080708-D00001.png
US-9821016-B2,Genetically modified paramyxovirus for treatment of tumor diseases ,Eberhard-Karls-Universitaet Tuebingen Universitaetsklinikum,"Ulrich Manfred Lauer, Michael Bitzer, Martina Zimmermann, Sorin Armeanu-Ebinger, Sascha Bossow, Wolfgang Neubert",4/23/2010,10/22/2012,11/21/2017,11/21/2017,https://patents.google.com/patent/US9821016B2/en,https://patentimages.storage.googleapis.com/a3/8d/ed/88a4ecdc71ebf9/US09821016-20171121-D00001.png
US-9790562-B2,Compositions and methods for the detection or treatment of uterine leiomyosarcoma ,"Augusta University Research Institute, Inc.","Ayman Al-Hendy, Mostafa Khater",9/30/2015,9/30/2016,10/17/2017,10/17/2017,https://patents.google.com/patent/US9790562B2/en,https://patentimages.storage.googleapis.com/ee/75/77/3164d3c3c52c66/US09790562-20171017-D00001.png
US-8524218-B2,Compositions and methods for treatment of neoplastic disease ,David S Terman,David S Terman,8/30/1999,11/24/2008,9/3/2013,9/3/2013,https://patents.google.com/patent/US8524218B2/en,
US-8436160-B2,Isolated DNA fragment of the SPARC human promoter and its use for driving the expression of an heterologous gene in tumor cells ,"Consejo Nacional De Investigaciones Cientificas Y Tecnicas (Conicet), Fundacion Instituto Leloir","Osvaldo Luis Podhajcer, Eduardo Gustavo Alfredo Cafferata, Maria Veronica Lopez, Diego Luis Viale",4/28/2006,4/26/2007,5/7/2013,5/7/2013,https://patents.google.com/patent/US8436160B2/en,https://patentimages.storage.googleapis.com/ad/45/e5/d3996297c10e1d/US08436160-20130507-D00001.png
US-8163709-B2,TAK1-D mediated induction of cell death in human cancer cells by specific sequence short double-stranded RNAS ,Board Of Regents Of The University Of Texas System,"Reinhard Kodym, Michael Story",1/28/2008,1/28/2009,4/24/2012,4/24/2012,https://patents.google.com/patent/US8163709B2/en,https://patentimages.storage.googleapis.com/75/26/d3/c50a4f2e41ee9d/US08163709-20120424-D00001.png
US-8377450-B2,"Clone of Newcastle disease virus, its manufacture and its application in the medical treatment of cancer ",United Cancer Research Institute,"Laszlo K. Csatary, Christine M. Csatary",11/30/2009,8/13/2010,2/19/2013,2/19/2013,https://patents.google.com/patent/US8377450B2/en,https://patentimages.storage.googleapis.com/b9/70/4a/8c95019a933256/US08377450-20130219-D00001.png
US-7964341-B2,Human endogenous retrovirus K102 with foamy-virus-like properties and uses thereof ,"Marian Laderoute, Antonio Giulivi, Francisco Diaz-Mitoma, Louise Larocque","Marian Laderoute, Antonio Giulivi, Francisco Diaz-Mitoma, Louise Larocque",3/18/2005,3/20/2006,6/21/2011,6/21/2011,https://patents.google.com/patent/US7964341B2/en,https://patentimages.storage.googleapis.com/1f/95/51/6ce9f2e4e54652/US07964341-20110621-D00001.png
US-9528991-B2,Individualized cancer therapy ,"Gradalis, Inc.","David M. Shanahan, I John J. Nemunaitis, Neil Senzer, Phillip B. Maples, Donald Rao",11/18/2005,11/7/2014,12/27/2016,12/27/2016,https://patents.google.com/patent/US9528991B2/en,https://patentimages.storage.googleapis.com/e8/b6/ba/9ddb51547fdda5/US09528991-20161227-D00001.png
US-10047074-B2,Pharmaceutical compound ,"Merck Sharp & Dohme Corp., Iomet Pharma Ltd.","Phillip M. COWLEY, Alan Wise, Margaret Huggett",8/19/2014,8/13/2015,8/14/2018,8/14/2018,https://patents.google.com/patent/US10047074B2/en,https://patentimages.storage.googleapis.com/2c/27/a5/9530d8f8f96b7a/US10047074-20180814-D00001.png
US-9822154-B2,Immune modulator for immunotherapy and vaccine formulation ,"Virginia Commonwealth University, Health Research, Inc.","Xiang-Yang Wang, Xiaofei YU, John R. Subjeck",12/14/2012,12/14/2013,11/21/2017,11/21/2017,https://patents.google.com/patent/US9822154B2/en,https://patentimages.storage.googleapis.com/6f/3d/11/076c3f69d3f7bd/US09822154-20171121-D00001.png
US-7321030-B2,Tumor-specific promotor and use thereof ,The New Industry Research Organization,Katsuyuki Hamada,9/14/2001,1/30/2002,1/22/2008,1/22/2008,https://patents.google.com/patent/US7321030B2/en,https://patentimages.storage.googleapis.com/US7321030B2/US07321030-20080122-D00001.png
US-9795643-B2,Oncolytic measles virus ,"Ulrich M. Lauer, Michael Bitzer, Johanna Lampe, Martina Schell, Susanne Berchtold, Sebastian Lange, Wolfgang J. Neubert, Sascha Bossow","Ulrich M. Lauer, Michael Bitzer, Johanna Lampe, Martina Schell, Susanne Berchtold, Sebastian Lange, Wolfgang J. Neubert, Sascha Bossow",8/20/2010,5/22/2015,10/24/2017,10/24/2017,https://patents.google.com/patent/US9795643B2/en,https://patentimages.storage.googleapis.com/f0/bf/db/03dbce58bbf050/US09795643-20171024-D00001.png
US-7655459-B2,Enhancer of anticancer activity in viral therapy and method of preventing or treating cancer ,Tomoki Todo,Tomoki Todo,3/31/2004,3/31/2005,2/2/2010,2/2/2010,https://patents.google.com/patent/US7655459B2/en,https://patentimages.storage.googleapis.com/US7655459B2/US07655459-20100202-D00001.png
US-10300096-B2,Use of adenoviruses and nucleic acids that code for said viruses ,Per Sonne Holm,Per Sonne Holm,11/14/2003,9/10/2015,5/28/2019,5/28/2019,https://patents.google.com/patent/US10300096B2/en,https://patentimages.storage.googleapis.com/0f/4c/9d/8ab88b2491ef8e/US10300096-20190528-D00001.png
US-8052968-B2,Modified vaccinia virus strains for use in diagnostic and therapeutic methods ,Genelux Corporation,"Nanhai Chen, Alexa Frentzen, Aladar A. Szalay, Yong A. Yu, Qian Zhang",10/16/2006,10/16/2007,11/8/2011,11/8/2011,https://patents.google.com/patent/US8052968B2/en,
US-10058591-B2,Co-administration of a parvovirus and a cytokine for therapy of pancreatic cancer ,"Deutsches Krebsforschungszentrum, Ruprecht-Karls-Universitaet Heidelberg","Zahari Raykov, Svitlana Grekova, Laurent Daeffler, Jean Rommelaere, Marc Aprahamian, Nathalia Giese",11/17/2011,12/3/2015,8/28/2018,8/28/2018,https://patents.google.com/patent/US10058591B2/en,https://patentimages.storage.googleapis.com/a1/ed/bd/aa8f1a1df596ec/US10058591-20180828-D00001.png
US-9187733-B2,Anti-cancer adenoviruses ,Salk Institute For Biological Studies,"Clodagh O'Shea, Colin Powers",8/16/2010,2/15/2013,11/17/2015,11/17/2015,https://patents.google.com/patent/US9187733B2/en,https://patentimages.storage.googleapis.com/00/bc/a7/8943a58203fbdf/US09187733-20151117-D00001.png
US-10139394-B2,Method for controlling cancer metastasis or cancer cell migration by modulating the cellular level of lysyl tRNA synthetase ,Medicinal Bioconvergence Research Center,"Sunghoon Kim, Jin Woo Choi",8/18/2008,10/26/2016,11/27/2018,11/27/2018,https://patents.google.com/patent/US10139394B2/en,https://patentimages.storage.googleapis.com/bd/88/9d/9dbec14f342e0d/US10139394-20181127-D00001.png
US-7214515-B2,Viral delivery system for infectious transfer of large genomic DNA inserts ,The General Hospital Corporation,"E. Antonio Chiocca, Yoshinaga Saeki, Richard Wade-Martins",1/5/2001,1/4/2002,5/8/2007,5/8/2007,https://patents.google.com/patent/US7214515B2/en,https://patentimages.storage.googleapis.com/US7214515B2/US07214515-20070508-D00001.png
US-6660259-B2,Herpes simplex virus for treating unwanted hyperproliferative cell growth ,"Onyx Pharmaceuticals, Inc.","Sylvie Laquerre, Terry Hermiston",12/8/1999,12/8/2000,12/9/2003,12/9/2003,https://patents.google.com/patent/US6660259B2/en,https://patentimages.storage.googleapis.com/c3/ac/87/ef7d9afe16e6fd/US06660259-20031209-D00001.png
US-10227413-B2,Anti-neuropilin antigen-binding proteins and methods of use thereof ,"Potenza Therapeutics, Inc.","Daniel Hicklin, Cynthia Seidel-Dugan, William Winston, Jose-Andres Salmeron-Garcia, Nels P. Nielson, Heather Brodkin",12/23/2016,2/20/2018,3/12/2019,3/12/2019,https://patents.google.com/patent/US10227413B2/en,https://patentimages.storage.googleapis.com/8b/59/13/8069b543edd558/US10227413-20190312-D00001.png
US-7744899-B2,Recombinant herpes simplex virus useful for treating neoplastic disease ,"The University Of Chicago, Uab Research Foundation","Richard J. Whitley, Bernard Roizman",12/31/1998,10/11/2006,6/29/2010,6/29/2010,https://patents.google.com/patent/US7744899B2/en,https://patentimages.storage.googleapis.com/cc/99/7a/e97ea75a270d0e/US07744899-20100629-D00001.png
US-10273295-B2,Chimeric antigen receptor specific for SSEA4 antigen ,Miltenyi Biotec Gmbh,"Andreas Bosio, Olaf Hardt, Andrea Aloia",8/19/2014,8/12/2015,4/30/2019,4/30/2019,https://patents.google.com/patent/US10273295B2/en,https://patentimages.storage.googleapis.com/e9/7c/53/d0eba711695480/US10273295-20190430-D00001.png
US-7763420-B2,Methods and compositions for detection of microorganisms and cells and treatment of diseases and disorders ,Genelux Corporation,"Jochen Harald Stritzker, Phil Hill, Aladar A. Szalay, Yong A. Yu",7/11/2006,7/11/2007,7/27/2010,7/27/2010,https://patents.google.com/patent/US7763420B2/en,
US-9889169-B2,Cancer therapy with a parvovirus combined with a Bcl-2 inhibitor ,"Deutsches Krebsforschungszentrum, Ruprecht-Karls-Universität Heidelberg","Antonio Marchini, Junwei Li, Lea SCHROEDER, Jean Rommelaere, Karsten Geletneky",7/22/2013,12/7/2015,2/13/2018,2/13/2018,https://patents.google.com/patent/US9889169B2/en,https://patentimages.storage.googleapis.com/da/f6/2e/94225aaacceb88/US09889169-20180213-D00001.png
US-8901077-B2,Delivery of a gene therapy vector to the brain by convection-enhanced delivery ,Renishaw (Ireland) Limited,"Edward White, Steven Streatfield Gill",1/22/2011,1/23/2012,12/2/2014,12/2/2014,https://patents.google.com/patent/US8901077B2/en,https://patentimages.storage.googleapis.com/cd/24/61/a60161418f7cdf/US08901077-20141202-D00001.png
